"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-05","66","52","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-06","63","51","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-07","63","52","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-08","63","52","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-09","63","52","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-10","63","52","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-11",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-12",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-13",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-14","63","51","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-16","63","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-17","63","52","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-18","63","51","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-19","62","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-20","63","51","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-21",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-22",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-23","59","53","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-24","59","52","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-25","59","53","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-26","58","40","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-28","44","40","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-29","58","40","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-30","58","40","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-31","59","40","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-01","62","44","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-02",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-03",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-04",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-05","59","41","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-06","61","41","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-07",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-08",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-10",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-11","62","42","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-12","62","41","59"
